[1680899842940, [-0.35, 8.147, 5.706], [0.000173, -0.002174, 0.012114]]
[1680899842960, [-0.382, 8.142, 5.688], [-9.1e-05, -0.002075, 0.011272]]
[1680899842980, [-0.396, 8.151, 5.679], [0.000114, -0.002779, 0.011091]]
[1680899843000, [-0.388, 8.133, 5.684], [0.000829, -0.00231, 0.011676]]
[1680899843020, [-0.363, 8.131, 5.69], [-0.00015, -0.002477, 0.011503]]
[1680899843040, [-0.372, 8.162, 5.643], [-0.001562, -0.002522, 0.011539]]
[1680899843060, [-0.403, 8.139, 5.699], [-0.001116, -0.000789, 0.012316]]
[1680899843080, [-0.361, 8.139, 5.682], [-0.002075, -0.003179, 0.011684]]
[1680899843100, [-0.367, 8.146, 5.655], [-0.001266, -0.003828, 0.012469]]
[1680899843120, [-0.362, 8.148, 5.69], [0.000568, -0.001304, 0.011768]]
[1680899843140, [-0.365, 8.165, 5.689], [-0.00182, -0.002118, 0.012035]]
[1680899843160, [-0.37, 8.163, 5.729], [-0.000276, -0.002267, 0.011855]]
[1680899843180, [-0.382, 8.131, 5.675], [-0.001179, -0.00269, 0.014215]]
[1680899843200, [-0.379, 8.171, 5.694], [-0.001139, -0.001967, 0.012608]]
[1680899843220, [-0.384, 8.149, 5.699], [-0.000824, -0.002774, 0.011111]]
[1680899843240, [-0.363, 8.145, 5.684], [-0.000813, -0.00264, 0.011641]]
[1680899843260, [-0.377, 8.146, 5.676], [-0.002327, -0.002156, 0.013087]]
[1680899843280, [-0.37, 8.162, 5.646], [0.000315, -0.000982, 0.011641]]
[1680899843300, [-0.378, 8.138, 5.695], [-0.001106, -0.001966, 0.011601]]
[1680899843320, [-0.388, 8.157, 5.698], [-0.001504, -0.003132, 0.011387]]
[1680899843340, [-0.392, 8.13, 5.692], [-0.000949, -0.002331, 0.010053]]
